Name,Manufacturer,Composition,INCI,Status,Expiration
ALPAFLOR® ABI Complex AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 68% Derived natural 0.5% Nature-identical 26% Water,"Glycerin Aqua Peucedanum Ostruthium Leaf Extract Buddleja Davidii Extract Artemisia Umbelliformis Extract Citric Acid, Sodium Benzoate Potassium Sorbate",certified,06/06/2026
ALPAFLOR® ARTEMISIA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Artemisia Umbelliformis Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® BUDDLEJA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 65% Derived natural 0.45% Nature-identical 29% Water,Glycerin Aqua Buddleja Davidii Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® EDELWEISS EP,DSM Nutritional Products Ltd,8% Natural (95% Organic) 62% Derived natural 0.45% Nature-identical 30% Water,Glycerin Aqua Leontopodium Alpinum Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® IMPERATORIA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Peucedanum Ostruthium Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® LINUM AO,DSM Nutritional Products Ltd,5% Natural (96% Organic) 65% Derived natural 0.15% Nature-identical 30% Water,Glycerin Aqua Linum Alpinum Flower/Leaf/Stem Extract Citric Acid Potassium Sorbate,certified,06/06/2026
ALPAFLOR® MALVA AO,DSM Nutritional Products Ltd,6% Natural (91% Organic) 68% Derived natural 0.45% Nature-identical 26% Water,Glycerin Aqua Malva Sylvestris (Mallow) Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® MARRUBIUM AO,DSM Nutritional Products Ltd,5% Natural (93% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Marrubium Vulgare Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® NECTAPURE PF,DSM Nutritional Products Ltd,6% Natural (100% Organic) 65% Derived natural 29% Water,Glycerin Aqua Buddleja Davidii Extract Thymus Vulgaris Extract,certified,06/06/2026
ALPAFLOR® SAMBUCUS AO,DSM Nutritional Products Ltd,5% Natural (91% Organic) 68% Derived natural 0.45% Nature-identical 26% Water,Glycerin Aqua Sambucus Nigra Flower Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
PENTAVITIN ® (50 3315 2),Pentapharm AG,2% Natural 50% Derived natural 48% Water,Saccharide Isomerate Aqua Citric Acid Sodium Citrate,certified,20/10/2026
Lamocrude´S,oceanBASIS GmbH,"25% Natural (25% Organic) 0,25% Derived natural 1% Nature-identical 73,75% Water","Laminaria Saccharina Extract, Aqua, Sodium Benzoate, Potassium Sorbate, Ascorbic Acid",certified,18/11/2026
Lamowell´S,oceanBASIS GmbH,39% Natural (39% Organic) 61% Water,"Saccharomyces/Laminaria Saccharina Ferment, Alcohol, Aqua",certified,18/11/2026
Palmocrude´P,oceanBASIS GmbH,"25% Natural (25% Organic) 0,25% Derived natural 1% Nature-identical 73,75% Water","Palmaria Palmata Extract, Aqua, Sodium Benzoate, Potassium Sorbate, Ascorbic Acid",certified,18/11/2026
SyriCalm CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"3,70% Natural 0,50% Nature-identical 95,80% Water","Aqua, Phragmites Karka Extract, Poria Cocos Extract, Sodium Benzoate, Sodium Citrate, Citric Acid",certified,22/01/2027
Modukine,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,96% Natural 4% Water,"Lactose, Milk Protein, Lactic Acid, Aqua",certified,22/01/2027
MPC – Milch Peptid Complex,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,96% Natural 4% Water,"Lactose, Whey Protein, Lactic Acid, Aqua",certified,22/01/2027
Vitamin F forte,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"0,1% Natural 99,9% Derived natural","Linoleic Acid, Oleic Acid, Palmitic Acid, Stearic Acid, Linolenic Acid, Tocopherol",certified,22/01/2027
Qollagen 1% Soluble Collagen,oceanBASIS GmbH,"1,9% Natural 0,2% Nature-identical 97,9% Water","Soluble Collagen, Aqua, Sodium Benzoate, Potassium Sorbate, Sodium Chloride",certified,31/01/2027
Argan Oil,DSM Nutritional Products Ltd,100% Natural (100% Organic),Argania Spinosa Kernel Oil,certified,23/10/2025
ERYTHRULOSE,DSM Nutritional Products Ltd,75% Derived natural 25% Water,Erythrulose,approved,16/04/2026
Organic Glycerin,ieS Labo,"99,5% Derived natural (98% Organic) 0,5% Water","Glycerin, Aqua",certified,03/08/2025
Mandelöl raffiniert Ph. Eur. (208031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Prunus Amygdalus Dulcis Oil,approved,22/10/2025
Organic Hydroglycerin Red Vineyard Extract,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","VITIS VINIFERA LEAF EXTRACT, Glycerin, Aqua, Citric acid, Potassium Sorbate, Sodium Benzoate",certified,14/01/2026
Organic Hydroglycerin Arnica Montana Flower Extract,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","ARNICA MONTANA FLOWER EXTRACT, Glycerin, Aqua, Citric acid, Potassium Sorbate, Sodium Benzoate",certified,14/01/2026
Organic Marigold Herbal Oil,ieS Labo,100% Natural (100% Organic),"CALENDULA OFFICINALIS FLOWER EXTRACT, Helianthus Annuus Seed Oil",certified,14/01/2026
Arnica Oil CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"100% Natural (96,9% Organic)","Glycine Soja (Soybean) Oil, Arnica Montana Flower Extract, Tocopherol, Helianthus Annuus Seed Oil",certified,12/04/2026
Calendula Oil CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"100% Natural (96,9% Organic)","Glycine Soja (Soybean) Oil, Calendula Officinalis Flower Extract, Tocopherol",certified,12/04/2026
SyriCalm CLR (PC),CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"3,3% Natural 0,1% Derived natural 0,5% Nature-identical 96,2% Water","Aqua, Phragmites Communis Extract, Poria Cocos Extract, Sodium Benzoate, Sodium Citrate, Citric Acid",certified,12/04/2026
Organic Glycerin,INTERAXION,"99,5% Derived natural (98% Organic) 0,5% Water","Glycerin, Aqua",certified,06/04/2026
Aprikosenkernöl raffiniert (216030),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Prunus Armeniaca Kernel Oil,approved,17/05/2026
Avocadoöl raffiniert DAC (204031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Persea Gratissima Oil,approved,17/05/2026
Olivenöl raffiniert Ph. Eur. (210031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Olea Europaea Fruit Oil,approved,17/05/2026
Reiskeimöl raffiniert (222030),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Oryza Sativa Bran Oil,approved,17/05/2026
ORGANIC HYDROGLYCERIN EXTRACT OF HORSE CHESTNUT,ieS Labo,"10,2% Natural (100% Organic) 44,5% Derived natural (43,6% Organic) 0,4% Nature-identical 44,9% Water","AESCULUS HIPPOCASTANUM SEED EXTRACT, Glycerin, Aqua, Citric acid, Potassium Sorbate, Sodium Benzoate",certified,07/11/2026
Belides ORG,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"2,2% Natural (60,47% Organic) 0,025% Nature-identical 97,75% Water","Bellis Perennis Flower Extract, Phenethyl Alcohol, Sodium Chloride, Potassium Chloride, Disodium Phosphate, Potassium Phosphate, Aqua",certified,09/11/2026
ORGANIC RECONSTITUTED JUICE OF ALOE VERA,ieS Labo,1% Natural (100% Organic) 99% Water,"ALOE BARBADENSIS LEAF JUICE, AQUA",certified,26/11/2025
ORGANIC FRUIT WATER OF CUCUMBER,ieS Labo,"16,044% Natural (98,75% Organic) 0,4% Nature-identical 83,556% Water","AQUA CUCUMIS SATIVUS FRUIT WATER, ALOE BARBADENSIS LEAF JUICE POWDER, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/11/2025
BEAUTIFERM RESURF C PG,woresan GmbH,10% Natural (100% Organic) 10% Derived natural 80% Water,"Lactobacillus/Rye Flour Ferment, Pentylene Glycol Aqua",certified,23/07/2026
BEAUTIFERM RESURF C,woresan GmbH,12% Natural (100% Organic) 88% Water,"Lactobacillus/Rye Flour Ferment, Aqua",certified,23/07/2026
BEAUTIFERM RESURF C SB,woresan GmbH,"10% Natural (100% Organic) 0,5% Nature-identical 89,5% Water","Lactobacillus/Rye Flour Ferment, Aqua, Sodium Benzoate, Potassium Sorbate",certified,23/07/2026
BEAUTIFERM RESURF L PG,woresan GmbH,5% Natural (100% Organic) 10% Derived natural 85% Water,"Lactobacillus/Rye Flour Ferment, Pentylene Glycol, Aqua",certified,23/07/2026
BEAUTIFERM RESURF S,woresan GmbH,2% Natural (100% Organic) 98% Water,"Lactobacillus/Rye Flour Ferment, Aqua",certified,23/07/2026
BEAUTIFERM RESURF S SB,woresan GmbH,"2% Natural (100% Organic) 0,5% Nature-identical 97,5% Water","Lactobacillus/Rye Flour Ferment, Aqua, Sodium Benzoate, Potassium Sorbate",certified,23/07/2026
Wilms Kiefern-Kernholz-Extrakt,Gustav Wilms oHG,"0,25% Natural 99,75% Water","Aqua, Pinus Sylvestris Wood Extract",certified,10/02/2025
Erdnussöl raffiniert Ph. Eur. (200031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Arachis Hypogaea Oil,approved,13/06/2025
Färberdistelöl (Safloröl) raffiniert Typ I Ph. Eur. (310031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Carthamus Tictorius Seed oil,approved,13/06/2025
Jojobaöl (Jojobawachs) raffiniert DAC (504031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Simmondsia Chinensis Seed Oil,approved,13/06/2025
Macadamianussöl raffiniert DAC (218031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Macadamia Integrifolia Seed Oil,approved,13/06/2025
Pfirsichkernöl raffiniert (224030),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Prunus Persica Kernel Oil,approved,13/06/2025
Sesamöl raffiniert gepresst Ph. Eur. (308031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Sesamum Indicum Seed Oil,approved,13/06/2025
Sheabutter raffiniert (140031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Butyrospermum Parkii Butter,approved,13/06/2025
Weizenkeimöl raffiniert extrahiert Ph. Eur. (316031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Triticum Vulgare Germ Oil,approved,13/06/2025
Hagebuttenkernöl kaltgepresst und raffiniert (370022),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Rosa Canina Fruit Oil oder Rosa Moschata Seed Oil,approved,13/06/2025
Hagebuttenkernöl raffiniert stabilisiert (370030),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,"Rosa Canina Fruit Oil oder Rosa Moschata Seed Oil, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil",approved,13/06/2025
Sonnenblumenöl ölsäurereich HO raffiniert DAC (220031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Helianthus Annuus Seed Oil,approved,13/06/2025
OLEAMED DRY,PharmaGnose S.A.,98% Natural (100% Organic) 2% Water,"OLEA EUROPAEA FRUIT EXTRACT, AQUA",certified,22/07/2025
PHYLLOLEA DRY,PharmaGnose S.A.,98% Natural (100% Organic) 2% Water,"Olea Europaea (olive) leaves extract, Aqua",certified,10/10/2026
ORGANIC FLORAL WATER OF ORANGE BLOSSOM.,ieS Labo,"5,17% Natural (100% Organic) 0,4% Nature-identical 94,43% Water","CITRUS AURANTIUM DULCIS FLOWER WATER, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,23/01/2027
Sonnenblumenöl raffiniert extrahiert Ph. Eur. (304031),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Helianthus Annuus Seed Oil,approved,10/02/2025
ORGANIC HERBAL OIL OF BURDOCK,ieS Labo,100% Natural (100% Organic),"ARCTIUM MAJUS ROOT EXTRACT, Helianthus Annuus Seed Oil",certified,14/02/2027
ORGANIC HYDROGLYCERIN EXTRACT OF MATRICARIA CHAMOMILE,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","CHAMOMILLA RECUTITA FLOWER EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC HYDROGLYCERIN EXTRACT OF ALMOND,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","PRUNUS AMYGDALUS DULCIS FRUIT EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC HYDROGLYCERIN EXTRACT OF HIBISCUS,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","HIBISCUS SABDARIFFA FLOWER EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC HYDROGLYCERIN EXTRACT OF LINSEED,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","LINUM USITATISSIMUM SEED EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
"ORGANIC HYDROGLYCERIN EXTRACT ""PHYTOTRACE OLIVE""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","OLEA EUROPAEA LEAF EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC HYDROGLYCERIN EXTRACT OF APPLE,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","PYRUS MALUS FRUIT EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC HYDROGLYCERIN EXTRACT OF BALMINT,ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","MELISSA OFFICINALIS FLOWER/LEAF/STEM EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,02/10/2025
ORGANIC REFINED SHEA BUTTER,ieS Labo,100% Natural (100% Organic),BUTYROSPERMUM PARKII BUTTER,certified,02/10/2025
ORGANIC SWEET ALMOND OIL,ieS Labo,100% Natural (100% Organic),PRUNUS AMYGDALUS DULCIS OIL,certified,02/10/2025
ORGANIC LINSEED OIL,ieS Labo,100% Natural (100% Organic),LINUM USITATISSIMUM SEED OIL,certified,02/10/2025
"ORGANIC HYDROGLYCERIN EXTRACT ""PhytoTrace™ FIG""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (48% Organic) 0,4% Nature-identical 44,92% Water","FICUS CARICA FRUIT EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/02/2026
"ORGANIC HYDROGLYCERIN EXTRACT ""PhytoTrace™ LAVENDER""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","LAVANDULA ANGUSTIFOLIA FLOWER EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/02/2026
"ORGANIC HYDROGLYCERIN EXTRACT ""PhytoTrace™ LEMON VERBENA""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","LIPPIA CITRIODORA LEAF EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/02/2026
"ORGANIC HYDROGLYCERIN EXTRACT ""PhytoTrace™ RICE""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","ORYZA SATIVA EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/02/2026
"ORGANIC HYDROGLYCERIN EXTRACT ""PhytoTrace™ WHITE GRAPE""",ieS Labo,"10,2% Natural (100% Organic) 44,48% Derived natural (98% Organic) 0,4% Nature-identical 44,92% Water","VITIS VINIFERA FRUIT EXTRACT, GLYCERIN, AQUA, CITRIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE",certified,26/02/2026
"ORGANIC LIPIDIC EXTRACT ""PhytoTrace™ CARROT""",ieS Labo,100% Natural (100% Organic),"DAUCUS CAROTA SATIVA ROOT EXTRACT, HELIANTHUS ANNUUS SEED OIL, ROSMARINUS OFFICINALIS LEAF EXTRACT",certified,26/02/2026
MultiMoist CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,79% Natural 21% Water,"Fructooligosaccharides, Beta Vulgaris (Beet) Root Extract, Water, Potassium Lactate, Lactic Acid",certified,19/06/2026
RonaCare® Ectoin,Merck Electronics KGaA,100% Natural,Ectoin,certified,06/09/2025
DUB MUG,STEARINERIE DUBOIS Fils,100% Derived natural,Glyceryl Undecylenate,approved,17/10/2025
DUB CIRE M1,STEARINERIE DUBOIS Fils,100% Derived natural,C10-18 Triglyceride,approved,17/10/2025
DUB CIRE H1,STEARINERIE DUBOIS Fils,100% Derived natural,C10-18 Triglyceride,approved,17/10/2025
DUB MCT 5545,STEARINERIE DUBOIS Fils,100% Derived natural,Caprylic/Capric Triglyceride,approved,17/10/2025
DUB 810C,STEARINERIE DUBOIS Fils,100% Derived natural,Coco-Caprylate/Caprate,approved,17/10/2025
DUB THG,STEARINERIE DUBOIS Fils,100% Derived natural,Triheptanoin,approved,17/10/2025
DUB COG,STEARINERIE DUBOIS Fils,100% Derived natural,Cocoglycerides,approved,17/10/2025
DUB LIG,STEARINERIE DUBOIS Fils,100% Derived natural,Glyceryl Linoleate,approved,17/10/2025
GEOMULSE P11 RSPO MB PASTILLE,Arxada Ltd,100% Derived natural,Polyglyceryl-10 Dipalmitate,approved,27/11/2026
GEOMULSE O3 RSPO MB,Arxada Ltd,100% Derived natural,Polyglyceryl-10 Decaoleate,approved,27/11/2026
GEOMULSE S8 RSPO MB,Arxada Ltd,100% Derived natural,Polyglyceryl-6 Distearate,approved,27/11/2026
GEOMULSE S10 RSPO MB PASTILLE,Arxada Ltd,100% Derived natural,Polyglyceryl-10 Stearate,approved,27/11/2026
Alpin Heilmoor Extrakt,PREMIUM ORGANIC GmbH,100% Natural,Peat Extract,approved,05/06/2025
Eucarol AGL 612 MB,LAMBERTI S.P.A.,30% Derived natural 70% Water,Disodium Cocoyl Glutamate,certified,23/07/2025
DUB OE HP,STEARINERIE DUBOIS Fils,100% Derived natural,"Ethyl Oleate, Lecithin, Tocopherol, Helianthus Annuus Seed Oil",approved,11/10/2025
DUB OG,STEARINERIE DUBOIS Fils,100% Derived natural,Glyceryl Oleate,approved,11/10/2025
DUB COG SP,STEARINERIE DUBOIS Fils,100% Derived natural,Cocoglycerides,approved,11/10/2025
DUB 50P,STEARINERIE DUBOIS Fils,100% Derived natural,"Stearic Acid, Palmitic Acid",approved,11/10/2025
DUB DBHG - POWDER,STEARINERIE DUBOIS Fils,100% Derived natural,"Glyceryl Dibehenate, Tribehenin, Glyceryl Behenate",approved,11/10/2025
DUB BG,STEARINERIE DUBOIS Fils,100% Derived natural,Glyceryl Behenate,approved,11/10/2025
DUB ISO G3,STEARINERIE DUBOIS Fils,100% Derived natural,Polyglyceryl-3 Diisostearate,approved,11/10/2025
Mangobutter raffiniert (151030),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Natural,Mangifera Indica Seed Butter,approved,12/03/2026
ALPAFLOR® ALP-SEBUM CB,DSM Nutritional Products Ltd,7% Natural (98% Organic) 69% Derived natural 23% Water,Glycerin Aqua Epilobium Fleischeri Flower/Leaf/Stem Extract Citric Acid,certified,27/03/2026
ALPAFLOR® EDELWEISS CB,DSM Nutritional Products Ltd,8% Natural (98% Organic) 69% Derived natural 23% Water,Glycerin Aqua Leontopodium alpinum extract Citric acid,certified,27/03/2026
RonaCare® Ectoin IQ,Merck Electronics KGaA,100% Natural,Ectoin,certified,30/03/2026
AnnonaSense CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"99,7% Natural 0,3% Nature-identical","Annona Cherimola Fruit Extract, Sodium Citrate, Phenylpropanol, Sodium Dehydroacetate, Citric Acid",certified,28/05/2026
ProRenew Complex CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"99,7% Natural 0,3% Nature-identical","Lactococcus Ferment Lysate, Lactic Acid, Sodium Chloride, Sodium Benzoate",certified,28/05/2026
ProRenew Complex CLR NP,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"99,77% Natural 0,23% Derived natural","Lactococcus Ferment Lysate, Lactic Acid, Sodium Chloride, Phenylpropanol, Levulinic Acid, Sodium Levulinate, Glycerin",certified,28/05/2026
JuvenEye CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"99,4% Natural 0,6% Nature-identical","Bellis Perennis Flower Extract, Hieracium Pilosella Extract, Citric Acid, Sodium Citrate, Sodium Benzoate, Sodium Dehydroacetate",certified,28/05/2026
CutiBiome CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,"2,25% Natural 97,75% Derived natural","Octyldodecanol, Leptospermum Scoparium Branch/Leaf Oil, Magnolia Officinalis Bark Extract, Piper Nigrum Seed Extract",certified,28/05/2026
ALPAFLOR® SCUTELLARIA CB,DSM Nutritional Products Ltd,5% Natural (98% Organic) 69% Derived natural 26% Water,"Glycerin, Aqua, Scutellaria alpina extract, Citric acid",certified,09/07/2026
MCT Öl kokosbasiert (190050),Gustav Heess Oleochemische Erzeugnisse GmbH,100% Derived natural,Caprylic/Capric Triglyceride,approved,16/07/2026
ALPAFLOR® GIGAWHITE CB,DSM Nutritional Products Ltd,3% Natural (96% Organic) 69% Derived natural 28% Water,"Glycerin, Aqua, Malva Sylvestris Flower/Leaf/Stem Extract, Mentha Piperita Leaf Extract, Primula Veris Flower Extract, Alchemilla Vulgaris Flower/Leaf/Stem Extract, Veronica Officinalis Flower/Leaf/Stem Extract, Melissa Officinalis Leaf Extract, Achillea Millefolium Flower/Leaf/Stem Extract, Citic Acid",certified,21/09/2028
OLEAMED HTD,PharmaGnose S.A.,67% Natural (100% Organic) 30% Derived natural (98% Organic) 3% Water,"OLEA EUROPAEA FRUIT EXTRACT, MALTODEXTRIN, AQUA",certified,24/11/2026
PHYLLOLEA OPD,PharmaGnose S.A.,67% Natural (100% Organic) 30% Derived natural (98% Organic) 3% Water,"OLEA EUROPAEA LEAVES EXTRACT, MALTODEXTRIN, AQUA",certified,24/11/2026
OLEAMED HTL,PharmaGnose S.A.,"8% Natural (100% Organic) 19% Derived natural (98% Organic) 0,9% Nature-identical 72,1% Water","AQUA, GLYCERIN, OLEA EUROPAEA FRUIT EXTRACT, SODIUM BENZOATE, POTASSIUM SORBATE",certified,24/11/2026
PHYLLOLEA OPL,PharmaGnose S.A.,"8% Natural (100% Organic) 19% Derived natural (98% Organic) 0,9% Nature-identical 72,1% Water","AQUA, GLYCERIN, OLEA EUROPAEA LEAVES EXTRACT, SODIUM BENZOATE, POTASSIUM SORBATE",certified,24/11/2026
StoppOx® Lipid,All Organic Treasures GmbH,100% Natural (25% Organic),"Helianthus Annuus Seed Oil, Tocopherol, Rosmarinus Officinalis Leaf Extract, Humulus Lupulus Extract",certified,17/02/2027
INCA INCHI LIPACTIF WO BIO (111001),GREENTECH SA,"100% Natural (99,925% Organic)","Plukenetia Volubilis Seed Oil, Tocopherol",certified,08/06/2025
BEAUTIFERM RESURF L,woresan GmbH,100% Natural (100% Organic),Lactobacillus/Rye Flour Ferment,certified,09/06/2027
BEAUTIFERM RESURF L SB,woresan GmbH,"99,5% Natural (100% Organic) 0,225% Nature-identical 0,275% Water","Lactobacillus/Rye Flour Ferment, Aqua, Sodium Benzoate, Potassium Sorbate",certified,09/06/2027
BEAUTIFERM RESURF S PG,woresan GmbH,90% Natural (100% Organic) 10% Derived natural,"Lactobacillus/Rye Flour Ferment, Pentylene Glycol",certified,09/06/2027
AMBER ORANGE,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Solanum Lycopersicum Fruit Extract",certified,05/08/2025
CARNELIAN ORANGE,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Daucus Carota Sativa Root Extract",certified,05/08/2025
EMERALD GREEN,SAS BIOLIE,100% Natural (100% Organic),"Helianthus Annuus Seed Oil, Camelia Sinensis Leaf Extract, Mentha Spicata Flower/Leaf/Stem Extract",certified,05/08/2025
HELIODOR YELLOW,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Curcuma Longa Rhizome Extract",certified,05/08/2025
JADE GREEN,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Capsicum Annuum Fruit Extract",certified,05/08/2025
RHODONITE RED,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Capsicum Annuum Fruit Extract",certified,05/08/2025
RUBY RED,SAS BIOLIE,100% Natural (99% Organic),"Helianthus Annuus Seed Oil, Alkanna Tinctoria Root Extract",certified,05/08/2025
KahlWax 8138 Organic Beeswax,Kahl GmbH & Co. KG,100% Natural (100% Organic),Cera Alba,certified,06/12/2025
KahlWax 8139 Organic Beeswax,Kahl GmbH & Co. KG,100% Natural (100% Organic),Cera Alba,certified,06/12/2025
RonaCare® Baobab,Merck Electronics KGaA,100% Natural,Adansonia Digitata Pulp Extract,certified,23/12/2025
RonaCare® Hibiscus,Merck Electronics KGaA,58% Natural 42% Derived natural,"Hibiscus Sabdariffa Flower Extract, Maltodextrin",certified,20/01/2026
Organic Calendula Oil CLR,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,100% Natural (99.9% Organic),"Glycine Soja Oil, Calendula Officinalis Flower Extract, Tocopherol, Helianthus Annuus Seed Oil",certified,28/02/2026
"Argan Oil CP Organic, 266515",IMCD Benelux B.V.,100% Natural (100% Organic),Argania Spinosa Kernel Oil,certified,08/03/2026
"GemmoCalm, 265980",IMCD Benelux B.V.,"20.5% Natural (20,5% Organic) 40% Derived natural 39.5% Water","Ribes Nigrum Bud Extract, Alcohol, Glycerin, Aqua",certified,08/03/2026
"GemmoDrain, 265972",IMCD Benelux B.V.,"20.5% Natural (20,5% Organic) 40% Derived natural 39.5% Water","Pyrus Sorbus Bud Extract, Alcohol, Glycerin, Aqua",certified,08/03/2026
"GemmoDrain Powder, 265970",IMCD Benelux B.V.,"5% Natural (5% Organic) 95% Derived natural (66,67% Organic)","Pyrus Sorbus Bud Extract, Maltodextrin, Glycerin",certified,08/03/2026
