Name,Manufacturer,Composition,INCI,Status,Expiration
PARYOL 507 CC/R PH. EU. - Coconut oil (Ph. Eu.) - refined,A&A f.lli Parodi spa,100% Natural,Cocos Nucifera Oil,approved,19/06/2026
PARYOL 507 CC/R - Coconut oil - refined,A&A f.lli Parodi spa,100% Natural,Cocos Nucifera Oil,approved,19/06/2026
PARYOL 325 VN/R - Grapeseed oil - refined,A&A f.lli Parodi spa,100% Natural,Vitis vinifera Seed Oil,approved,19/06/2026
PARYOL 229 KK/R - Kukui oil - refined,A&A f.lli Parodi spa,100% Natural,ALEURITES MOLUCCANUS SEED OIL,approved,19/06/2026
PARYOL 285 G/R - Wheat Germ Oil - refined,A&A f.lli Parodi spa,100% Natural,Triticum Vulgare Germ Oil,approved,19/06/2026
PARYOL 468 MG/R - Mango butter - refined,A&A f.lli Parodi spa,100% Natural,Mangifera Indica Seed Butter,approved,19/06/2026
PARYOL 165 OL/R - Olive Oil - refined,A&A f.lli Parodi spa,100% Natural,Olea Europaea Fruit Oil,approved,19/06/2026
PARYOL 165 OL/FU - Olive Oil (Ph.Eur.) - refined,A&A f.lli Parodi spa,100% Natural,Olea Europaea Fruit Oil,approved,19/06/2026
PARYOL 326 PS/R - Peach kernel oil - refined,A&A f.lli Parodi spa,100% Natural,Prunus Persica Kernel Oil,approved,19/06/2026
PARYOL 568 RS/RW - Rice Bran oil - refined - winterized,A&A f.lli Parodi spa,100% Natural,Oryza Sativa Bran Oil,approved,19/06/2026
PARYOL 299 CT/O - Safflower seed oil (high oleic),A&A f.lli Parodi spa,100% Natural,Carthamus Tinctorius Seed Oil,approved,19/06/2026
PARYOL 299 CT/R - Safflower seed oil - refined,A&A f.lli Parodi spa,100% Natural,Carthamus Tinctorius Seed Oil,approved,19/06/2026
PARYOL 181 SM/R - Sesame seed oil - refined,A&A f.lli Parodi spa,100% Natural,Sesamum Indicum Seed Oil,approved,19/06/2026
PARYOL 218 BK/R - Shea butter - refined,A&A f.lli Parodi spa,100% Natural,Butyrospermum Parkii Butter,approved,19/06/2026
PARYOL 312 K/R - Shea oil - refined,A&A f.lli Parodi spa,100% Natural,Butyrospermum Parkii Oil,approved,19/06/2026
PARYOL 286 GS/R - Sunflower oil - refined,A&A f.lli Parodi spa,100% Natural,Helianthus Annuus Seed Oil,approved,19/06/2026
PARYOL 480 MR - PH. EU. - Sweet Almond Oil (Ph. Eur.) - refined,A&A f.lli Parodi spa,100% Natural,Prunus Amygdalus Dulcis Oil,approved,19/06/2026
PARYOL 480 MR - Sweet Almond Oil - refined,A&A f.lli Parodi spa,100% Natural,Prunus Amygdalus Dulcis Oil,approved,19/06/2026
Amaze™ Nordic Barley,Nouryon Surface Chemistry AB,90% Natural 10% Water,"Hordeum Vulgare Seed Flour, Aqua",approved,28/06/2026
Amaze™ SP,Nouryon Surface Chemistry AB,82% Derived natural 18% Water,"Sodium Polyitaconate, Aqua",approved,28/06/2026
Verdessence Alginate,BASF Personal Care and Nutrition GmbH,100% Derived natural,Algin,approved,03/07/2026
Plantapon ACG 50,BASF Personal Care and Nutrition GmbH,57% Derived natural 43% Water,"Sodium Cocoyl Glutamate, Aqua, Propylene Glycol",approved,03/07/2026
SP CITHROL PGTL MBAL-LQ-(GD),Croda Europe Ltd,100% Derived natural,Tri(Polyglyceryl-3/Lauryl) Hydrogenated Trilinoleate,approved,08/07/2026
ARLACEL 1690-LQ-(MV),Croda Europe Ltd,100% Derived natural,"Sorbitan Isostearate, Polyglyceryl-3 Polyricinoleate",approved,08/07/2026
CosmeGreen ES1822+,SURFACTGREEN,100% Derived natural,"Arachidyl/Behenyl Betainate Esylate, Arachidyl/Behenyl Alcohol",approved,08/07/2026
