Brand Name,Description
ANISSA,"Jonuvia Cosmetics GmbH
Alte Linner Str. 129
47799 Krefeld
Germany
www.jonuvia-cosmetics.de

Third Party Manufacturer:
von Häring Naturkosmetik GmbH
Lembergstraße 31/1
78559 Gosheim
Germany
www.vonhaering.de"
(4 ELEMENTS FOR LIFE),"N&B natural is better s.r.l
via Laterale Campo Sportivo
73025 Martano (LE)
Italy 
www.nbnaturalisbetter.com"
BIO:VÉGANE SKINFOOD,"BCG Baden-Baden Cosmetics Group GmbH
Im Rosengarten 7
76532 Baden-Baden
Germany
https://www.biovegane.com"
,"B2Y Ltd
322A Maskavas Str.- 3rd Fl
1063 Riga
Latvia
www.bio2you.lv"
,"ALDI Supermercados, S.L.
C/ Alemanya, 5
08783 Masquefa Barcelona
Spain

Aldi is a leading discount retailer in Europe whose mission it is to provide its customers with top quality goods at the best possible price. 

https://www.aldi.es/conocenos/nuestras-marcas/la-cosmetica-natural-llega-a-tu-super.html

Third Party Manufacturers:

WIN COSMETIC GMBH & CO. KG
Wilhelm-Ternis-Straße 21-25
67592 Flörsheim-Dalsheim
Germany
www.dalli-group.com

Mibelle AG Cosmetics
Bolimattstrasse 1
5033 Buchs
Switzerland
www.mibellegroup.com"
BIOCURA NATURE,"ALDI Einkauf GmbH & Co. oHG (NORD)
Eckenbergstraße 16-16A
45307 Essen
Germany
www.aldi-nord.de

Aldi is a leading discount retailer in Europe whose mission it is to provide its customers with top quality goods at the best possible price. 

Third Party Manufacturer:
Maxim Markenprodukte GmbH & Co KG
Donatusstraße 112
50259 Pulheim
Germany
maxim-markenprodukte.de"
BIODROGA ORGANIC INSTITUTE,"BIODROGA Cosmetic GmbH
Im Rosengarten 7
76532 Baden-Baden
Germany
https://biodroga.com"
BIOKOSMA,"Melisana AG
Grüngasse 19
8004 Zürich
Switzerland 

https://www.biokosma.ch

BIOKOSMA, a pioneer in Swiss natural cosmetics, makes modern skincare products using selected plant ingredients since 1935. 

BIOKOSMA's aim is to make you feel good all over. To achieve this we develop products that combine effectiveness with gentleness. Our inspiration is drawn from nature. 
Our product range is as varied as the needs of our users while being clear and easy to understand. Our aim is to offer modern natural cosmetics that harness advances in technology while respecting the environment. BIOKOSMA products contain selected high-quality ingredients and are developed and manufactured in Switzerland to reduce transport miles. We also give preference to Swiss organic plant extracts, which supports Swiss farmers. 

PRINCIPLES
- Ingredients grown in Switzerland.
- BIOKOSMA uses carefully selected plant ingredients, with preference being given to organic Swiss products of the highest quality. These are carefully processed in line with ecological principles and using the latest findings in research.
- Natural preservatives and colorants.
- BIOKOSMA products contain only natural preservatives and no synthetic colorants.
- Free from mineral oils and silicones.
- BIOKOSMA products only contain plant oils, waxes and extracts. We do not use paraffins or other mineral oils. We also do not use silicone. 
- GM-free.
- BIOKOSMA products do not contain ingredients derived from dead animals or raw materials from genetically modified organisms (GMOs). 
- No animal testing.
- BIOKOSMA products are not tested on animals, either during the developmental or the manufacturing stage. 
- Dermatologically tested.
- All BIOKOSMA products are formulated to be kind to the skin. This has been confirmed in independent dermatological studies."
BIONATYR,"CTM ALTROMERCATO
Via Crispi, 9
39100 Bolzano (BZ) 
Italy
https://www.altromercato.it/it_it/prodotti/benessere.html
https://shop.altromercato.it/category/EC62000/cosmesi

Third Party Manufacturer:
Gala srl
via A.Cicognani 11/N
47121 Forlì (FC) 
Italy
www.galacosmetici.com

Ctm Altromercato consortium is the leading fair trade organization in Italy and one of the largest in the world. Our mission is to practice and promote a trade model based on principles such as fairness, sustainability and solidarity. 

Bio Natyr cosmetic range means fair trade, natural and organic highly-effective cosmetics for face, body and hair care. It is formulated to highlight the properties of the natural ingredients traditionally used for cosmetic treatments in the South of the world. At its heart are essential oils, flowers and fruit extracts, honey, vegetable oils and butters, herbs and spices, natural raw materials imported by Ctm Altromercato at fair trade conditions and processed by Gala Cosmetici, a professional and certified laboratory in Italy."
BIOTISSIMA - MIND & BODY,"Life Care Corp SRL 
Platforma Industiala Incontro
DN 59, KM8+55 M
Chisoda -  Timisoara
Romania
https://life-care.com
https://club.life-care.com"
