Product Name,Brand,Certification,Manufacturer,Description
STRESS FREE ORGANIC AROMA ROLL-ON,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Water (Aqua), Alcohol* org, Polyglyceryl-10 Laurate, Lavandula Angustifolia (Lavender) Water* org, Fragrance (Parfum)**, Xanthan Gum, Citric Acid, Limonene**, Linalool**, Citral**, Geraniol**
       *of controlled biological cultivation
     ** from 100% natural essential oils

Main Ingredients 
- Lavender Essential Oil enhances deep relaxation. 
- Organic Lavender Water helps settle worrisome thoughts.

Description
This hassle-free roll on allows for effortless stress relief.

Usage
Perfect as a travel take-along, and for use at work. Roll onto neck, forehead and temples as needed, and breathe deeply. Shake before use.

Additional Statements
- 100% Natural. 
- Dermatologist Tested. 
- Our ingredients and products are not tested on animals."
SLEEP COMFORT ORGANIC BALM,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil* org, Prunus Amygdalus Dulcis (Sweet Almond) Oil* org, Glycerin, Water (Aqua), Sucrose Laurate, Fragrance (Parfum)**, Lavandula Angustifolia (Lavender) Oil* org, Vanilla Planifolia Fruit Extract* org, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Citrus Aurantium Dulcis (Orange) Fruit Water* org, Tocopherol, Linalool**, Limonene**, Geraniol**, Benzyl Benzoate**
     * org = certified organic cultivation
   ** from 100% natural essential oils

Description
Embedded in valuable apricot kernel and almond oil, the essential oil composition of lavender, vanilla and neroli unfolds its beneficial effect on the skin, relaxes and supports healthy sleep.

Usage
Gently rub the balm into the chest and back or feet."
SLEEP COMFORT ORGANIC AROMA ROLL-ON,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil* org, Ricinus Communis (Castor) Seed Oil* org, Fragrance (Parfum)**, Tocopherol, Linalool**, Limonene**, Geraniol**, Benzyl Benzoate**
     * org = certified organic cultivation
   ** from 100% natural essential oils

Description
A cuddly scent composition of 100% natural essential oils helps to leave everyday stress behind and to relax. 
As a practical aroma roll-on also ideal for on the way.

Usage
Apply to neck and temples or under the nose."
BIRCH CELLULITE OIL,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil*, Triticum Vulgare (Wheat) Germ Oil, Fragrance (Parfum)**, Betula Alba Leaf Extract, Limonene**, Ruscus Aculeatus Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Linalool**, Citronellol**, Geraniol**, Citral**.
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Cellulite develops naturally – but that doesn’t mean you have to keep it! Weleda’s Birch Cellulite Oil is a completely natural treatment for cellulite using precious plant ingredients. Extracts from organically grown young birch leaves, rosemary and butcher’s broom (ruscus) stimulate the skin’s metabolism. They’re blended with active carrier oils, including vitamin rich wheatgerm and jojoba – famously able to hold moisture where it is meant to be. Invigorating grapefruit and cypress oils for fragrance – everything in this oil is here for a purpose. And it works.

Suitable for vegans.

Usage
Best to use twice a day for four weeks, then daily to maintain the effect. Apply in a circular massage action over thighs, hips and bottom. Enhance circulation with a brush massage or a hot/cold change shower using Birch Body Scrub."
CALENDULA MASSAGE OIL,Weleda,Organic cosmetics,Weleda AG,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil*, Betula Alba Leaf Extract, Calendula Officinalis Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Calendula and chamomile, both kind and gentle plants, lend their essential oils to your skin as your tired body enjoys the relaxation of massage. 
Carried in a silky layer of sunflower oil, and freshly scented with essential oils, Calendula Massage Oil is ideal for a massage that soothes and relaxes muscles while softening and nourishing your skin."
CITRUS REFRESHING BODY OIL,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Prunus Amygdalus Dulcis (Sweet Almond) Oil, Alcohol*, Citrus Limon (Lemon) Peel Oil*, Water (Aqua), Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Mmmm – lemon! The fresh scent of sunshine and summer, captured in a purely natural oil for body care. 
Citrus Refreshing Body Oil takes a base of delicate almond oil to maintain skin’s moisture, and infuses it with a squeeze of pure lemon oil to invigorate, lift your spirits and clear your head. Right from the shower, straight onto your skin, and let’s get on with the day!

Usage
Apply a few drops onto damp skin after bath or shower."
POMEGRANATE REGENERATING HAND CREAM,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Water (Aqua), Sesamum Indicum (Sesame) Seed Oil*, Glycerin, Alcohol*, Glyceryl Stearate SE, Butyrospermum Parkii (Shea) Butter*, Olea Europaea (Olive) Oil Unsaponifiables, Helianthus Annuus (Sunflower) Seed Oil*, Punica Granatum Seed Oil*, Panicum Miliaceum (Millet) Seed Extract*, Ruscus Aculeatus Root Extract, Helianthus Annuus (Sunflower) Petal Extract, Xanthan Gum, Stearic Acid, Palmitic Acid, Fragrance (Parfum)*, Limonene**, Linalool**, Citronellol**, Benzyl Benzoate**, Geraniol**, Citral**, Eugenol**, Coumarin**.
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Everyone needs a touch of kindness – and that includes your hands, so why not reward them with some pomegranate love and care? 
Swiftly-absorbed Pomegranate Regenerating Hand Cream protects your hands against the drying effects of water, free-radicals and dry air, with a luxurious blend of organic pomegranate seed oil, shea butter, sesame oil and golden millet extract. 
Slack skin becomes firm, dryness disappears and capable hands are helped back to their soft and supple best.

Usage
Massage gently into hands, especially after washing and outdoor work."
POMEGRANATE REGENERATING BODY OIL,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Simmondsia Chinensis (Jojoba) Seed Oil*, Sesamum Indicum (Sesame) Seed Oil*, Helianthus Annuus (Sunflower) Seed Oil*, Triticum Vulgare (Wheat) Germ Oil, Macadamia Ternifolia Seed Oil*, Panicum Miliaceum (Millet) Seed Extract*, Limonene**, Punica Granatum Seed Oil*, Olea Europaea (Olive) Oil Unsaponifiables, Helianthus Annuus (Sunflower) Petal Extract, Fragrance (Parfum)**, Linalool**, Citronellol**, Benzyl Benzoate**, Geraniol**, Citral**, Eugenol**, Coumarin**, Farnesol**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Protect your skin’s natural beauty with a daily draught of pure, rich oils. Wise pomegranate keeps moisture where it is needed, in the secret heart of the fruit, and we press the oil carefully from the seed for its antioxidant and balancing qualities. Rejuvenating oils of jojoba, sesame and macadamia blend with fruity-fresh, sweet notes of orange, davana and vanilla. A harmonious sensory feast of perfume and skin- sensation – for radiant results.

Suitable for vegans.

Usage
As a daily body care treatment, massage a small amount gently into damp skin after a bath or shower, using a circular motion, always towards the heart. For a relaxing bath, mix two capfuls of the oil with half a cup of milk."
LAVENDER RELAXING BODY OIL,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sesamum Indicum (Sesame) Seed Oil*, Lavandula Angustifolia (Lavender) Oil*, Fragrance (Parfum)**, Limonene**, Linalool**, Geraniol**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
If you’re looking for a lavender gift for people who love nature, then Lavender Relaxing Body Oil surely has everything. 
With a scent which immediately dispels stress and creates a sense of peace and well-being, it’s infused here into a gossamer-light blend of sweet almond and organic sesame oils, to absorb quickly. Perfect after a stressful day, to help induce truly restful sleep or to recuperate after testing times. Massage in, breathe deeply and relax.

Usage
Apply a few drops and massage into slightly damp, clean skin after bath or shower. For even greater benefit, soak in Weleda’s Lavender Relaxing Bath Milk before use, or clean skin with Lavender Soap or Lavender Creamy Body Wash."
SEA BUCKTHORN REPLENISHING HAND CREAM,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Water (Aqua), Sesamum Indicum (Sesame) Seed Oil*, Alcohol*, Hydrolyzed Beeswax, Tapioca Starch, Lysolecithin, Beeswax (Cera Alba), Glyceryl Stearate SE, Hippophae Rhamnoides Oil*, Xanthan Gum, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Benzyl Benzoate**, Benzyl Salicylate, Geraniol**, Citral**, Farnesol**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Precious organic sea buckthorn oil is rich in the natural ingredients your skin needs to renew and repair itself, so it’s perfect for the skin on your hands, however rough or dry. 
We add light sesame oil to keep the mix easily-absorbed, and we’ve chosen the revitalising fragrance blend of lively grapefruit, fruity-sweet mandarin and precious sandalwood essential oils.  Your rough hands are moisturised and become beautifully smooth and supple.

Suitable for vegetarians.

Usage
Massage into tired hands for instant relief from dryness."
