Product Name,Brand,Certification,Manufacturer,Description
ERFRISCHENDES REINIGUNGS-GEL,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients 
Maris Aqua, Aqua, Saccharomyces/Laminaria Saccharina Ferment, Lauryl Glucoside, Disodium Cocoyl Glutamate, Coco-Glucoside, Glyceryl Oleate, Alcohol (aus Fermentation der Algen), Xanthan Gum, Sodium Cocoyl Glutamate, Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Natrium Benzoate, Potassium Sorbate.

Description
Oceanwell Refreshing Cleansing Gel 

Stimulating facial and body wash. Grease and soap-free. Low-foam, moisturising. Rehydrating - revitalises tired skin"
KLÄRENDES PEELING,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients
Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Saccharomyces/Laminaria Saccharina Ferment, Maris Limus, Glyceryl Stearate Citrate, Simmondsia Chinensis Oil*, Hamamelis Virginiana Distillate, Cetyl Alcohol, Glyceryl Stearate, Alcohol (aus Fermentation der Algen), Butyrospermum Parkii Butter*, Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzioc Acid, Sorbic Acid.
     * of controlled biological cultivation 

Description
Oceanwell Purifying Scrub 
Gentle, thorough cleansing with the finest Baltic sea sand. Very well suited for thinner skin and Couperose. smooths - gently clarifies"
NÄHRENDE PFLEGECREME,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients 
Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Simmondsia Chinensis Oil*, Saccharomyces/Laminaria Saccharina Ferment, Glyceryl Stearate Citrate, Cetyl Alcohol, Hamamelis Virginiana Distillate, Butyrospermum Parkii Butter*, Glyceryl Stearate, Alcohol (aus Fermentation der Algen), Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzioc Acid, Sorbic Acid.
     * of controlled biological cultivation 

Description
Oceanwell Nourishing Skin Care 
Intensive regenerating cream for dry, demanding and thin skin. Beneficial for highly stressed skin. Repairing - revitalising"
SCHÜTZENDE FEUCHTIGKEITSCREME,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients 
Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Simmondsia Chinensis Oil*, Saccharomyces/Laminaria Saccharina Ferment, Glyceryl Stearate Citrate, Hamamelis Virginiana Distillate, Cetyl Alcohol, Glyceryl Stearate, Butyrospermum Parkii Butter*, Alcohol (aus Fermentation der Algen), Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzoic Acid, Sorbic Acid.
     * of controlled biological cultivation 

Description
Oceanwell Protective Moisturiser 
Highly-effective all-day protection. Light and creamy - your skin feels nourished and revitalised. Protecting - improves elasticity and luminosity"
ORGANIC APRICOT KERNEL OIL,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Prunus Armeniaca (Apricot) Kernel Oil* org
     * org = certified organic cultivation

Description
The slightly marzipan-scented oil revitalizes the skin and maintains its elasticity.

Usage
Massage into the moist skin so that the oil is better absorbed."
ARNICA MASSAGE OIL,Weleda,Organic cosmetics,Weleda AG,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil*, Olea Europaea (Olive) Fruit Oil*, Fragrance (Parfum)**, Arnica Montana Flower Extract*, Betula Alba Leaf Extract, Limonene**, Linalool*, Geraniol**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Used by athletes and sports masseurs, our totally natural Arnica Massage Oil warms and strengthens, nourishing skin and warming muscles. Apply before or after exercise to help stimulate a healthy blood flow and to relax muscles so protecting against cramps, muscle tension and soreness. Extracts of arnica blossom and birch leaves help the skin feel stronger, maintaining elasticity and stimulates natural regeneration. Invigorating rosemary, combined with relaxing lavender create a perfect balance of essential oils. Dermatologically tested and skin-kind.

Suitable for Vegans.

Usage
For massage, apply the oil to dry skin. Apply to slightly damp skin for faster absorption. Do not apply to broken skin."
ORGANIC ARGAN SEED OIL,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Argania Spinosa Kernel Oil* org
     * org = certified organic cultivation

Description
The seed oil prevents premature skin aging and protects against skin damaging free radicals.

Usage
Massage into the moist skin so that the oil is better absorbed."
ROSEMARY INVIGORATING BATH MILK,Weleda,Natural cosmetics,Weleda AG,"Ingredients
Water (Aqua), Rosmarinus Officinalis (Rosemary) Leaf Oil*, Fragrance (Parfum)**, Potassium Olivate*, Alcohol*, Glycerin*, Limonene*, Linalool**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Our revitalising rosemary, grown on sun-soaked Mediterranean fields, really blows the cobwebs away. Ideal in a warm bath, to loosen and soothe achy, tired limbs, or in a foot bath after a long hot day, wherein it also improves the general circulation in the legs and feet, it will leave you feeling balanced and vitalised.

Usage
Pour three to four capfuls into the bath just before stepping in, to get full benefit as the fragrance rises in the steam."
SCHWARZKÜMMELÖL,TAOASIS,Organic cosmetics,Taoasis GmbH,"Ingredients 
Nigella Sativa Seed Oil.

Description
Black cumin basic oil organic

Black cumin oil was already valued at the time of the Pharaohs because of its special properties. Black cumin oil is manufactured by traditional cold pressing of the seeds, which ensures the preservation of the valuable ingredients. It is one of the most skin-friendly basic oils. 

Store in a cool and dry place, protect from sunlight."
GRAPEFRUIT ULTRASANFTES REINIGUNGSFLUID,farfalla,Organic cosmetics,Farfalla Essentials AG,"Ingredients
AQUA, COCO-GLUCOSIDE, ALOE BARBADENSIS LEAF JUICE*, HELIANTHUS  ANNUUS SEED OIL, ALCOHOL*, GLYCERIN*, XANTHAN GUM, CITRUS GRANDIS PEEL  OIL, TOCOPHEROL, ASCORBIC ACID, PARFUM (natural essential oils), SODIUM  LEVULINATE, SODIUM ANISATE, LACTIC ACID, CITRIC ACID, LIMONENE**,  CITRAL**. 
      * certified organic
    ** part of natural essential oils

Description
Grapefruit, Gentle cleansing fluid

Cleanses and freshens the skin very gently without dehydrating. 
The refreshing grapefruit oil stimulates the metabolism and is therefore ideal as a thorough, vitalising cleanser.

Usage
Apply 2-3 portions from dispenser onto moist skin and rinse with plenty of water."
APRICOT KERNEL SKIN CARE OIL,Solling Naturkosmetik,Organic cosmetics,Ölmühle Solling GmbH,"Ingredients
Prunus Armeniaca kernel Oil* 
     *of controlled biological cultivation

Description
The organic apricot kernel oil by Solling Naturkosmetik is a regenerating skin care for face and body. The rich skin care oil has a mild and natural fragrance of apricot kernel and is rich in oleic and linoleic acid. It has a light texture and absorbs well into the skin, without leaving a greasy skin feel. The mild oil leaves a soft skin and is also suitable for baby care.

Usage
 - Apricot kernel oil for sensitive skin care:
Our apricot kernel oil is free from fragrances and essential oils and helps dry skin to keep moisture for a long period of time. In addition, it is very tolerable and protects the sensitive skin of face and bust. Futhermore, apricot kernel oil contains natural antioxidants, neutralises free radicals and has an anti-aging effect.

Our skin care oils pamper the skin and are ideal for the daily skin care of the face and the body. Our apricot kernel oil fuses with the skin's lipid layer and supplies the skin with vitamins, essential fatty acids and phytochemicals. Our skin care products are all natural - because we are convinced that nature has everything to offer that our skin needs.

 - Apricot kernel oil as make-up remover
Pure apricot kernel oil can be used as make-up remover and is even suitable for water-proof make-up. Simply moisten a make-up removal pad with warm water, add a little apricot kernel oil and gently stroke over skin, lips or eyelashes. Make-up removal pads made of bamboo or organic cotton are reusable and protect our environment.

 - Mix & Match:
Individual and unique: Every skin is different and so are its needs. Therefore, all of our skin care products can be mixed to match your individual needs. Apricot kernel oil can either be enhanced with other skin care oils or our skin balms or even be combined with creams and lotions. Just add a few drops to your face cream for more skin elasticity and extra moisture.

 - Face or body scrubs with skin care oils:
Skin scrubs can help the skin to regenerate and unclog the pores. Making your own scrub with apricot kernel oil at home is very easy: Simply mix sea salt, coconut flower sugar, almond meal or coffee grounds (depending on the desired grain) with the oil, gently apply the mixture in circular movements and rinse with lukewarm water. This way, dead cells are removed and the skin is vitalised and pampered. We recommend to use body scrubs in the shower."
NAKED UNSCENTED / BABY BODY BALM,Dr. Bronner's,Organic cosmetics,Dr. Bronner's Magic Soaps,
PERFECT SKIN CLEANSING CREAM - CREMA DETERGENTE E RINNOVATRICE VISO,O Way Beauty,Natural cosmetics,Rolland S.r.l.,"Ingredients
Aqua/Water/Eau, Malva Sylvestris (Mallow) Flower/Leaf Extract, Cetearyl Alcohol, Passiflora Incarnata Seed Oil, Dicaprylyl Ether, Octyldodecanol, Coco-Caprylate, Cetearyl Glucoside, Glycerin, Caprylyl Caprylate/Caprate, Cistus Incanus Flower/Leaf/Stem Extract, Gynostemma Pentaphyllum Leaf/Stem Extract, Glutamine, Salvia Hispanica Seed Oil, Butyrospermum Parkii (Shea) Butter, Juglans Regia (Walnut) Leaf Extract, Oenocarpus Bataua Fruit Oil, Parfum (Fragrance), Xanthan Gum, Sodium Stearoyl Glutamate, Tocopherol, Citric Acid, Decyl Glucoside, Phenethyl Alcohol, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Limonene, Linalool

Description
Cleansing and skin renewal face cream. Nickel tested / Dermatologically tested 

• A rich and soft purifying cream that improves the skin’s comfort, leaving it soft, purified and silky;
• Removes makeup (even waterproof makeup), toxins and impurities from your skin with a deep yet gentle action;
• Antioxidant and anti-free radicals protection. 

Olfactory sensations: Soothing and relaxing, with green, vegetable and fresh scents that combine light floral notes on a gourmand background of vanilla and almond.

Usage
Morning and evening, gently massage it on face and neck. Remove with water and apply DE-STRESS TONIC POTION."
KIDS 2IN1 SHOWER & SHAMPOO HAPPY ORANGE,Weleda,Natural cosmetics,Weleda AG,"Ingredients 
Water (Aqua), Sesamum Indicum (Sesame) Seed Oil*, Glycerin, Coco-Glucoside, Alcohol*, Disodium Cocoyl Glutamate, Carrageenan, Citrus Aurantium Dulcis (Orange) Peel Oil, Calendula Officinalis Flower Extract*, Xanthan Gum, Lactic Acid, Sodium Cocoyl Glutamate, Fragrance (Parfum)**, Limonene**, Linalool**, Benzyl Benzoate**, Citral**
     * of controlled biological cultivation 
   ** from natural essential oils

Description
No matter how chaotic life is in your household, one thing is certain – your child is growing up fast and learning how to conquer the world without help. Although your child is getting more and more independent each day, your child’s skin still needs extra protection. The skin of a child is thinner than an adult’s and not fully developed, so the ideal form of skin care is a certified natural product. With WELEDA natural care you cannot make a wrong decision, as our kids products are super-gentle to your children’s delicate skin and even mild to the eyes.

Our Kids 2in1 Shampoo & Body Washes have built-in “I want that!”. We developed the range with our team of little grown-ups, all advising skincare experts how to make a natural bathtime fun. The result: caring ingredients, super-mild cleansers and child-friendly, natural fragrances in a tube designed for fun. With WELEDA quality, you can feel good too, and your child can discover a new caring routine of their own.

Suitable for vegans.

Usage
Apply in the bath or shower, lather a few drops into hair and massage into skin before rinsing well. Leaves behind a fabulous fragrance and silky soft skin and hair."
KÖRPERMASKE MACADAMIA HONIG,peclavus®,Natural cosmetics,Hellmut Ruck GmbH,"Ingredients 
AQUA, BUTYROSPERMUM PARKII BUTTER*, GLYCERIN, ALCOHOL, HELIANTHUS ANNUUS SEED OIL, CETEARYL ALCOHOL, PRUNUS AMYGDALUS DULCIS OIL, MACADAMIA INTEGRIFOLIA/TETRAPHYLLA SEED OIL, BETAINE, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYL STEARATE, GLYCERYL STEARATE CITRATE, STEARIC ACID, OENOTHERA BIENNIS OIL*, TOCOPHEROL, GLYCERYL CAPRYLATE, PALMITIC ACID, PARFUM, SODIUM HYALURONATE, XANTHAN GUM, LECITHIN, LAVANDULA ANGUSTIFOLIA OIL, POTASSIUM PHOSPHATE, LIMONENE, GERANIOL, LINALOOL, CITRONELLOL, CITRAL, COUMARIN 
* certified organic 

Description
peclavus® wellness macadamia honey body mask is a balm for body and soul. 

The scent of the queen of nuts and the sweet and familiar fragrance of honey release feelings of profound inner calm and security during a treatment, providing a protective layer. 
A combination of macadamia nut oil, organic shea butter, aloe vera, and hyaluronic acid - which activates cell regeneration and regulates the moisture balance - provides silky-soft and well nurtured skin. 
Vegan product. 

Usage
Apply a layer the thickness of the back of a knife to the cleansed skin. 
Treatment time: 15 to 20 minutes. Rinse with warm water or take off with a warm compress."
100% NATURAL ESSENTIAL OIL PEPPERMINT DEMETER,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients 
Mentha Piperita (Peppermint) Oil* org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils

Description
- Bot. Mentha piperita
- Herb 
- Steam distillation

Usage
For room scenting, mixed and diluted for cosmetic and therapeutic application on the skin e.g. in face and body oils, for massage oils, for therapeutic rubbing in and for wraps, as bath additive, for masks, for self-mixed cosmetic products"
100% NATURAL ESSENTIAL OIL ROSEMARY VERBENON ORG,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients 
Rosmarinus Officinalis (Rosemary) Leaf Oil* Org, Limonene**, Linalool**
*of controlled biological cultivation 
** from natural essential oils

Description
cool, clear, fresh
- refreshing, clarifying, promotes concentration
- Bot. Rosmarinus officinalis c.t. verbenon
- herb
- distillation

Usage
For room scenting, mixed and diluted for cosmetic and therapeutic application on the skin e.g. in face and body oils, for massage oils, for therapeutic rubbing in and for wraps, as bath additive, for masks, for self-mixed cosmetic products"
TROCKENSHAMPOO BIO-ZITRONENGRAS,Alterra Naturkosmetik,Natural cosmetics,Dirk Rossmann GmbH,"Ingredients
Zea Mays Starch, Talc, Aqua, Silica, Lauroyl Lysine, Glycerin*, Illite, Parfum**, Kaolin, Montmorillonite, Calcite, Limonene**, Benzyl Salicylate**, Geraniol**, Linalool**, Cymbopogon Citratus Extract*, Mentha Suaveolens Leaf Extract*.
     * ingredients from certified organic agriculture
   ** from natural essential oils"
VOLUME & STYLING POWDER,Alterra Naturkosmetik,Natural cosmetics,Dirk Rossmann GmbH,"Ingredients
Talc, Zea Mays Starch, Silica, Aqua, Lauroyl Lysine, Illite, Parfum**, Glycerin, Alcohol, Kaolin, Montmorillonite, Limonene**, Calcite, Phyllostachys Bambusoides Leaf Extract*, Carica Papaya Fruit Extract*, Linalool**.
     * ingredients from certified organic agriculture
   ** from natural essential oils"
ARGAN & AMARANTH ANTI-WRINKLE AHA NIGHT SERUM,DR. SCHELLER NATURAL & EFFECTIVE,Natural cosmetics,Dr. Scheller natural & effective GmbH,"Ingredients
AQUA (WATER), CITRUS AURANTIUM DULCIS (ORANGE) FRUIT EXTRACT*, GLYCERIN, LACTIC ACID, ALCOHOL, PROPANEDIOL, ARGANIA SPINOSA KERNEL EXTRACT*, AMARANTHUS CAUDATUS SEED EXTRACT*, ACMELLA OLERACEA EXTRACT, SODIUM HYALURONATE, GLYCYRRHIZA GLABRA (LICORICE) ROOT EXTRACT*, CITRIC ACID, TARTARIC ACID, GLUCONIC ACID, GELLAN GUM, XANTHAN GUM, POTASSIUM SORBATE, PARFUM (FRAGRANCE), LIMONENE**, CITRAL**, LINALOOL**, GERANIOL**, CITRONELLOL**, SODIUM BENZOATE, SODIUM HYDROXIDE 
       Alcool éthylique 1,4 %vol. ; 1,4°
      * from certified organic agriculture
    ** from natural essential oils
    Preserved with potassium sorbate and sodium benzoat

Description
The Anti-Wrinkle AHA Night Serum with fruit acids removes dead skin cells and stimulates the nightly skin’s renewal process. 

Usage
In the evening, apply 1-2 drops to the face after cleaning, lightly massage in and let absorb for 5 minutes. 
Follow with finishing skincare treatment. 
It is normal to experience a slight tingling sensation after application. 
Avoid direct contact with the eyes and mouth. 
Protect skin from sun exposure during the day."
ORGANIC PURE HYALURONIC HAND CREAM,B&R Baroque & Rose,Organic cosmetics,Baroque&Rose,"Ingredients
Aqua, Aloe Vera Leaf Extract*, Cetearyl Alcohol, Olive Fruit Extract*, Wheat Germ Oil*, Cocoglycerides, Glycerin, Cetearyl Glucoside, Avocado*, Sweet Almond Oil*, Apricot Seed Kernel*, Lavender Flower Extract*, Rosemary Flower Extract*, Sodium Dehydroacetate, Sodium Benzoate, Parfum, Algin, Citric Acid and Lemon.
     * FROM ORGANIC FARMING

Description
The first roll-on hand cream designed with your busy lifestyle in mind. Easily fits in any handbag and glove compartment and leaves no unwanted residue on clothes. Made with our special blend of Aloe Vera Extract, Sweet Almond Oil, Olive oil, Grape Seed Oil and Citrus Peel, Pure Hyaluronic Hand Cream will not leave you with sticky hands. Instead, they will be hydrated and feel smooth with a beautifully delicate fragrance.

Usage
Simply roll the applicator over your hands and massage both your hands together."
ORGANIC PURE FACE MILK,B&R Baroque & Rose,Organic cosmetics,Baroque&Rose,"Ingredients
Aqua, Aloe Vera Leaf Extract*, Cetearyl Alcohol, Olive Fruit Extract*, Wheat Germ Oil*, Cocoglycerides, Glycerin, Cetearyl Glucoside, Avocado*, Sweet Almond Oil*, Apricot Seed Kernel*, Lavender Flower Extract*, Rosemary Flower Extract*, Sodium Dehydroacetate, Sodium Benzoate, Parfum, Algin, Citric Acid and Lemon.
     * FROM ORGANIC FARMING

Description
A gentle cleansing milk, delicately and naturally perfumed, able to perfectly cleanse the face by softly removing impurities and make-up, revealing a fresh and radiant skin, using only natural, organic ingredients and without causing any form of irritation. The active ingredients make it suitable for even for the most delicate and sensitive skin types and its efficacy transcends all ethnicities and genders. Pure Face Milk is also perfect to be used on the neck and décolleté area, leaving the skin fresh and supple.

Usage
A gentle cleansing milk, delicately and naturally perfumed, able to perfectly cleanse the face by softly removing impurities and make-up, revealing a fresh and radiant skin, using only natural, organic ingredients and without causing any form of irritation. The active ingredients make it suitable for even for the most delicate and sensitive skin types and its efficacy transcends all ethnicities and genders. Pure Face Milk is also perfect to be used on the neck and décolleté area, leaving the skin fresh and supple."
ORGANIC PURE FACIAL TONIC,B&R Baroque & Rose,Organic cosmetics,Baroque&Rose,"Ingredients
Aqua, Aloe Vera Leaf Extract*, Cetearyl Alcohol, Olive Fruit Extract*, Wheat Germ Oil*, Cocoglycerides, Glycerin, Cetearyl Glucoside, Avocado*, Sweet Almond Oil*, Apricot Seed Kernel*, Lavender Flower Extract*, Rosemary Flower Extract*, Sodium Dehydroacetate, Sodium Benzoate, Parfum, Algin, Citric Acid and Lemon.
     * FROM ORGANIC FARMING

Description
Our refreshing and soothing tonic, with its subtle fragrance, brightens the appearance of skin and is essential after deep cleanse. Ideal for restoring the Ph in the skin and preparing it to receive any serum or creams. Your skin will feel clean, calm and revitalised. Ideally to be used with Baroque &amp; Rose Pure Face Milk.

Usage
After use of ORGANIC FACE MILK apply a small amount on a cotton wool swab and pat into the skin."
ORGANIC PURE EYE CONTOUR CREAM,B&R Baroque & Rose,Organic cosmetics,Baroque&Rose,"Ingredients
Aqua, Aloe Vera leaf extract*, Sweet Almond Oil*, Avocado*, Sodium Hyaluronate, Pomegranate seed oil, Grape seed oil, Prickly Pear seed oil, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetearyl Glucoside, Glycerin, , Sodium Dehydroacetate, Algin, Parfum, Mica, Titanium Dioxide, Citric Acid, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Lemon, Linalool.
     * FROM ORGANIC FARMING

Description
Soothing and refreshing helps dark circles and puffy eyes. Improves this delicate skin area and is anti-ageing, brightening, hydrating, nourishing, tones, promotes cellular renewal and reduces thin lines. For all skin types. 

Usage
Small amount on ring finger with no pressure massage into the eye contour area until the cream has been absorbed."
WONDER CREAM PROTECT & REPAIR,B&R Baroque & Rose,Organic cosmetics,Baroque&Rose,"Ingredients
Aloe Barbadensis Leaf Extract*, Aqua, Olea Europaea Fruit Extract*, Butyrospermum Parkii Butter*, Caprylic / Capric Triglyceride, Nicotiana Tabacum Leaf Extract*, Glycerin, Coco-caprylate, Cetearyl Glucoside, Cetearyl Alcohol, Argania Spinosa Kernel Extract, Punica Granatum Seed Oil, Opuntia Ficus Indica Seed Oil, Crithmum Maritimum Extract, Simmondsia Chinensis Seed Oil, Chamomilla Recutita Extract, Calendula Officinalis Flower Extract, Sodium Cocoyl Glutamate, Tocopherol, Maltodextrin, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Sodium Dehydroacetate, Sodium Benzoate, Parfum, Algin, Citric Acid.
     * FROM ORGANIC FARMING

Description
An infusion of organic, raw, home-grown intensely hydrating ingredients formulated to dramatically improve skin tone, texture and firmness. Wonder Cream plumps up and creates radiance while minimizing the appearance of pores, sun damage, pigmentation, as well as acne scars. The deeply nourishing formula replenishes vital nutrients ensuring a renewed appearance and a skin that is able to protect itself from all daily stresses and environmental dermal aggressors.

Usage
Use after freshly cleansed skin with PURE Face Milk and PURE Face Tonic. Apply in small circular motions to face and décolleté. Use morning and night."
BB GREEN CREAM SPF15,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aqua, Aloe Barbadensis Leaf Extract*, Caprylic/Capric Triglyceride, Glycerin, Titanium Dioxide, Prunus Amygdalus Dulcis Oil*, Butyrospermum Parkii Butter*, Coco-caprylate, Polyglyceryl-2 Dipolyhydroxystearate, Silica ,Vitis Vinifera Juice, Tocopheryl Acetate, Jojoba Esters, Cetearyl Alcohol, Lauroyl Lysine, Mica, Iron Oxides, Polyhydroxystearic Acid, Sodium Stearoyl Glutamate, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Algin, Tocopherol, Sodium Chloride, Sodium Dehydroacetate, Parfum**, Citric Acid, Limonene, Linalool, Coumarin.
     * of controlled biological cultivation 
   ** from natural essential oils"
CREMA DE MANOS ALL IN ONE,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aqua, Aloe Barbadensis Leaf Extract*, Prunus Amygdalus Dulcis Oil*, Sodium Hyaluronate, Coco- Caprylate, Glycerin, Olea Europaea Fruit Extract*, Punica Granatum Seed Oil, Vitis Vinifera Seed Oil, Hydroxystearyl Alcohol, Cetearyl Alcohol, Hydroxystearyl Glucoside,Caprylic / Capric Triglyceride, Xylitylglucoside, Anhyldroxylitol, Xylitol, Tocopheryl Acetate, Acacia Senegal Gum, Xanthan Gum, Tocopherol, Algin, Sodium Dehydroacetate, Parfum**, Mica, Titanium Dioxide, Citric Acid, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Limonene, Linalool.
     * of controlled biological cultivation 
   ** from natural essential oils"
CREMA DE NOCHE NUTRITIVA PROLIFIRMEZA,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aqua, Aloe Barbadensis leaf extract*, Prunus Amygdalus dulcis oil*, Simmondsia chinensis Seed oil*, Sucrose Polystearate ,Sodium Hyaluronate, Punica Granatum seed oil, Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Coco-Caprylate, Xylitylglucoside, Anhydroxylitol, Xylitol, Cetyl Palmitate, Dicaprylyl Ether, Tocopheryl Acetate, Acacia Senegal gum, Xanthan Gum, Algin, Sodium Dehydroacetate, Parfum**, Mica, Silica, Titanium Dioxide, Citric Acid, Tocopherol, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Limonene, Linalool.
     * of controlled biological cultivation 
   ** from natural essential oils"
CREMA DE DIA REJUVENECEDORA ANTIPOLUTICION,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aqua, Aloe Barbadensis leaf extract*, Prunus Amygdalus dulcis oil*, Coco-Caprylate, Simmondsia chinensis seed oil*, Sucrose Polystearate, Caprylic/Capric Triglyceride, Sodium Hyaluronate, Punica Granatum seed oil, Vitis Vinifera seed oil, Glycerin, Cetearyl Alcohol, Crithmum Maritimum Extract ,Cetyl Palmitate, Acacia Senegal gum, Xanthan Gum, Tocopheryl Acetate, Tocopherol, Algin, Sodium Dehydroacetate, Parfum**, Mica, Titanium Dioxide, Silica ,Citric Acid, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Limonene, Linalool.

     * FROM ORGANIC FARMING 
   ** NATURAL ESSENCES"
BOOSTER FACIAL ANTIEDAD,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aloe Barbadensis Leaf Extract* Glycerin, Sodium Hyaluronate, Betaine, Xylitylglucoside Anhydroxylitol, Xylitol, Acacia Senegal Gum, Xanthan Gum, Parfum**, Mica, Silica, Titanium Dioxide, Algin, Citric Acid, Sodium Dehydroacetate, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Limonene, Linalool.
     * of controlled biological cultivation 
   ** from natural essential oils"
CONTORNO DE OJOS DETOX,terpenic,Organic cosmetics,Terpenic Lab S.R.,"Ingredients 
Aqua, Aloe Barbadensis Leaf Extract*, Prunus Amygdalus Dulcis Oil*, Butyrospermum Parkii Butter*, Sodium Hyaluronate, Punica Granatum Seed Oil, Vitis Vinifera Seed Oil, Opuntia Ficus Indica Seed Oil, Caprylic / Capric Triglyceride, Cetearyl Alcohol, Cetearyl Glucoside, Glycerin, Sodium Dehydroacetate, Algin, Parfum**, Mica, Titanium Dioxide, Citric Acid, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Limonene, Linalool.
     * of controlled biological cultivation 
   ** from natural essential oils"
COMPLETE CARE ZAHNCREME (FR),lavera,Natural cosmetics,Laverana GmbH & Co. KG,"Ingredients 
Sorbitol, Aqua, Hydrated Silica, Glycerin, Xylitol, Aloe Barbadensis Leaf Juice*, Sodium Coco-Sulfate, CI 77891, Melissa Officinalis Leaf Extract*, Eucalyptus Globulus Leaf Extract, Mentha Piperita Extract*, Salvia Officinalis Leaf Extract*, Salvadora Persica Bark/Root Extract, Xanthan Gum, Sodium Fluoride, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Maris Sal, Aroma**, Limonene**
      * ingredients from certified organic agriculture
    ** natural essential oils

Description
With Organic mint & sodium fluoride

Fivefold protection:
-    Removes plaque
-    Cavity protection
-    Protects against tartar
-    Gum protection
-    Extra fresh breath

GREEN FRESH COMPLEX: The lavera Naturkosmetik research team has developed a highly effective formula that contains an exclusive active ingredient composition based on eucalyptus which is antibacterial and ensures wonderfully fresh breath.

Usage
Children of 6 years and younger: Use a pea sized amount for supervised brushing to minimize swallowing. In case of intake of fluoride from other sources consult a dentist or doctor."
BALDINI DEUTSCHER LAVENDEL ROLL-ON,TAOASIS,Organic cosmetics,Taoasis GmbH,"Ingredients
Simmondsia Chinensis Seed Oil, Lavandula Angustifolia Flower Oil, Linalool, Geraniol, Limonene.

Description
Easy on temples, wrist or Roll off the neck and immediately unfolds the soothing scent aura and lets us to Come to rest. The relaxing scent of ""Petite Provence"" in demeter jojoba oil. 

Usage
Simply roll on the temples, wrist or neck and immediately unfold the soothing scent aura.
Store in a cool and dry place, protect from sunlight."
BALDINI SOS ROLL-ON,TAOASIS,Organic cosmetics,Taoasis GmbH,"Ingredients
Simmondsia Chinensis Seed Oil, Parfum, Linalool, Limonene, Citrus Aurantium Flower Oil, Citral, Citronellol, Coumarin, Farnesol, Geraniol.

Description
For the quick help against nervousness and Stress with neroli and other precious oils. Ideal for travel and in exam situations. If necessary on neck, wrist and Unwind the temples. 

Usage
Simply roll on the temples, wrist or neck and immediately unfold the soothing scent aura
Store in a cool and dry place, protect from sunlight."
